tcp_id,group,id,type,n_id,original
A40728,0,68,P,,Ioh. 2 15
A40728,1,68,P,,Mark 11 17
A40728,2,1,N,0,Judges 6 13
A40728,3,1,N,1,2 Sam. 24 14
A40728,4,1,N,2,Judges 9 23
A40728,5,4,N,3,Luke 19 41
A40728,6,4,N,4,Rom. 10
A40728,7,4,N,5,Luke 9 44
A40728,8,4,N,6,Luke 10 5
A40728,9,4,N,7,Psal 68 30
A40728,10,4,N,7,Gen. 49
A40728,11,4,N,8,Psal. 106 23
A40728,12,4,N,9,Exod. 33 15
A40728,13,4,N,10,Luke 8 37
A40728,14,4,N,11,Luke 24 29
A40728,15,11,N,13,Malachi 3 6
A40728,16,11,N,14,Jonah 2 8
A40728,17,11,N,15,Luke 1 43
A40728,18,11,N,16,Luke 1 6
A40728,19,15,N,17,Math 3 15
A40728,20,20,N,21,Eccles. 1 1
A40728,21,21,N,22,Mat. 9 23
A40728,22,21,N,23,Matth. 9 23
A40728,23,21,N,24,Luke 1 28
A40728,24,21,N,25,Isay 59 2
A40728,25,21,N,26,Psal 77 9
A40728,26,21,N,27,Psal. 145 9
A40728,27,21,N,28,Gen. 3
A40728,28,21,N,30,Gen. 45 28
A40728,29,24,N,32,Luke 2 35
A40728,30,25,N,34,Gen. 2 24
A40728,31,26,N,35,Luke 19 10
A40728,32,26,N,36,Gen. 37
A40728,33,26,N,37,Isay 49 15
A40728,34,26,N,38,Zach. 28
A40728,35,26,N,39,Heb. 12 11
A40728,36,26,N,40,Psal. 119 71
A40728,37,28,N,41,Luke 16 26
A40728,38,28,N,42,Hab. 1 13
A40728,39,28,N,43,Lev. 10 3
A40728,40,28,N,44,1 Cor. 14 40
A40728,41,28,N,45,2 Cor. 13 11
A40728,42,28,N,46,2 Thess. 2 4
A40728,43,28,N,47,1 Sam. 5
A40728,44,28,N,48,2 Cor. 6 15
A40728,45,32,N,50,Psal. 78 3
A40728,46,32,N,51,Exod. 5
A40728,47,32,N,52,Hab. 2 13
A40728,48,32,N,53,Rom 6 21
A40728,49,32,N,54,1 Sam. 13 13
A40728,50,32,N,55,Luke 8 14
A40728,51,32,N,56,Psal 39 6
A40728,52,32,N,57,Isay 36 6
A40728,53,32,N,58,Ier. 2 19
A40728,54,32,N,59,Isay 38 8
A40728,55,32,N,60,Psal. 132 4
A40728,56,36,N,62,Luke 15 8
A40728,57,36,N,65,Psal. 30 7
A40728,58,36,N,66,Gen. 32 26
A40728,59,36,N,67,Psal. 24 6
A40728,60,36,N,68,Cant. 3 1
A40728,61,36,N,69,Prov. 13 4
A40728,62,36,N,70,Numb 22 10
A40728,63,45,N,71,John 18 38
A40728,64,45,N,73,Mat. 8 20
A40728,65,45,N,74,Isay 21 11
A40728,66,45,N,75,Eccles. 3 1
A40728,67,45,N,76,Matth 6 3
A40728,68,45,N,77,Isay 55 6
A40728,69,45,N,77,Gen 27 34
A40728,70,45,N,77,Mat. 27 11
A40728,71,45,N,78,Isay 65 1
A40728,72,45,N,79,Acts 9
A40728,73,45,N,81,John 6 26
A40728,74,45,N,82,1 Cor. 12 14
A40728,75,45,N,83,Psal. 77 8
A40728,76,45,N,84,Acts 19 25
A40728,77,45,N,85,1 Tim. 1 6
A40728,78,45,N,86,Job 13 15
A40728,79,45,N,87,1 Cor. 2 23
A40728,80,50,N,89,Ephes. 4 3
A40728,81,51,N,90,Gen. 37 35
A40728,82,51,N,90,2 Sam. 18 33
A40728,83,51,N,91,Jer. 6 26
A40728,84,51,N,92,2 Cor. 7 10
A40728,85,51,N,93,John 11 36
A40728,86,51,N,94,Isay 53 3
A40728,87,51,N,95,Psal. 16 11
A40728,88,55,N,98,Heb. 13 20
A40728,89,55,N,99,Isay 9 6
A40728,90,55,N,100,Gal. 5 22
A40728,91,55,N,101,Rom. 10 15
A40728,92,55,N,102,Mat. 5 24
A40728,93,58,N,103,Jud. 5 15
A40728,94,58,N,104,1 Cor. 1 12
A40728,95,58,N,105,Mat. 27 35
A40728,96,58,N,106,Judg. 17 6
A40728,97,58,N,107,Psal. 102 13
A40728,98,58,N,108,Psal. 110* 3
A40728,99,61,N,110,Ephes. 1 18
A40728,100,61,N,111,Mat. 16 17
A40728,101,61,N,112,Acts 17* 23
A40728,102,61,N,112,Cant. 3 2
A40728,103,61,N,113,Isay 45 19
A40728,104,61,N,114,Psal. 105 3
A40728,105,61,N,115,Heb. 6 10
A40728,106,67,N,116,Psal. 77 13
A40728,107,67,N,117,Mat. 24 26
A40728,108,67,N,118,Deut. 4 29
A40728,109,67,N,119,Psal. 29 9
A40728,110,67,N,120,Mat. 21 13
A40728,111,67,N,121,1 Cor. 11 22
A40728,112,67,N,122,"John 4 21, 23"
A40728,113,67,N,123,1 Cor* 11 22
A40728,114,67,N,124,Levit. 26 2
A40728,115,67,N,125,Mat. 19* 6
A40728,116,67,N,126,Mal. 1 7
A40728,117,72,N,128,Rom. 1 1
A40728,118,72,N,129,Mat. 15 14
A40728,119,72,N,130,Luke 21 15
A40728,120,72,N,131,Luke 11 52
A40728,121,72,N,132,2 Pet. 3 16
A40728,122,75,N,133,Mat. 20 1
A40728,123,75,N,134,Mal. 2 7
A40728,124,77,N,136,Luke 2 7
A40728,125,77,N,137,Mark 15 27
A40728,126,77,N,138,Rev. 2 1
A40728,127,77,N,139,Mat. 6 5
A40728,128,77,N,140,Luke 11 43
A40728,129,77,N,141,Psal 37 11
