tcp_id,n_id,id,n_idx,text
A19277,0,1,0,(REF0) & (REF1) (REF2) (REF3)
A19277,1,16,0,Symonides
A19277,2,17,0,Pindarus.
A19277,3,18,0,Aristot.
A19277,4,19,0,(REF0)
A19277,5,20,0,(REF0)
A19277,6,21,0,(REF0)
A19277,7,31,0,(REF0)
A19277,8,33,0,(REF0)
A19277,9,34,0,james
A19277,10,34,0,(REF0)
A19277,11,37,0,(REF0)
A19277,12,39,0,(REF0)
A19277,13,40,0,(REF0)
A19277,14,46,0,(REF0)
A19277,15,46,0,Sizach.
A19277,16,56,0,(REF0)
A19277,17,57,0,(REF0)
A19277,18,61,0,(REF0)
A19277,19,69,0,(REF0) (REF1)
A19277,20,69,0,(REF0)
A19277,21,72,0,(REF0)
A19277,22,77,0,Zopho.
A19277,23,77,0,malachi
A19277,24,77,0,(REF0)
A19277,25,78,0,(REF0) (REF1) (REF2)
A19277,26,79,0,(REF0)
A19277,27,80,0,(REF0)
A19277,28,82,0,(REF0)
A19277,29,85,0,(REF0)
A19277,30,86,0,(REF0) (REF1)
A19277,31,88,0,(REF0)
A19277,32,91,0,(REF0)
A19277,33,92,0,(REF0)
A19277,34,92,0,(REF0)
A19277,35,97,0,(REF0)
A19277,36,102,0,(REF0)
A19277,37,107,0,(REF0)
A19277,38,107,0,(REF0)
A19277,39,109,0,(REF0)
A19277,40,109,0,Zanch.
A19277,41,109,1,To.
A19277,42,109,2,2 lib.
A19277,43,109,3,3 3 712
A19277,44,115,0,(REF0)
A19277,45,132,0,(REF0)
A19277,46,137,0,(REF0)
A19277,47,138,0,(REF0)
A19277,48,145,0,(REF0)
A19277,49,146,0,(REF0)
A19277,50,149,0,(REF0)
A19277,51,150,0,(REF0)
A19277,52,151,0,(REF0) (REF1) (REF2)
A19277,53,154,0,(REF0)
A19277,54,155,0,(REF0)
A19277,55,156,0,(REF0)
A19277,56,156,0,(REF0)
A19277,57,156,0,(REF0) (REF1) (REF2)
A19277,58,160,0,(REF0)
A19277,59,161,0,(REF0)
A19277,60,167,0,(REF0)
A19277,61,169,0,(REF0)
A19277,62,170,0,vers.
A19277,63,170,1,23
A19277,64,170,0,(REF0)
A19277,65,170,0,(REF0)
A19277,66,176,0,(REF0)
A19277,67,182,0,(REF0)
A19277,68,209,0,(REF0)
A19277,69,209,0,(REF0) (REF1)
A19277,70,212,0,Zoph.
A19277,71,212,1,2 1
A19277,72,215,0,(REF0)
A19277,73,215,0,(REF0)
A19277,74,218,0,(REF0)
A19277,75,218,0,(REF0)
A19277,76,220,0,Verse.
A19277,77,220,1,28
A19277,78,230,0,(REF0)
A19277,79,232,0,Aprill 8 1580
A19277,80,232,0,(REF0)
A19277,81,239,0,Text 6
A19277,82,249,0,(REF0) (REF1)
A19277,83,253,0,(REF0)
A19277,84,257,0,(REF0) (REF1)
A19277,85,267,0,(REF0)
A19277,86,271,0,(REF0) &
A19277,87,272,0,(REF0)
A19277,88,275,0,(REF0)
A19277,89,278,0,(REF0)
A19277,90,280,0,(REF0)
A19277,91,283,0,(REF0)
A19277,92,283,0,(REF0)
A19277,93,284,0,(REF0)
A19277,94,286,0,(REF0) (REF1) (REF2)
A19277,95,294,0,(REF0)
A19277,96,299,0,(REF0)
A19277,97,304,0,(REF0)
A19277,98,305,0,(REF0)
A19277,99,308,0,(REF0) (REF1) (REF2) (REF3)
A19277,100,309,0,(REF0)
A19277,101,312,0,1 (REF0)
A19277,102,313,0,(REF0)
A19277,103,315,0,(REF0)
A19277,104,318,0,(REF0)
A19277,105,322,0,(REF0)
A19277,106,322,0,(REF0)
A19277,107,326,0,(REF0)
A19277,108,326,0,1 (REF0)
A19277,109,328,0,(REF0)
A19277,110,330,0,(REF0)
A19277,111,334,0,(REF0)
A19277,112,342,0,(REF0)
A19277,113,343,0,(REF0)
A19277,114,345,0,(REF0) (REF1)
A19277,115,345,0,oll.
A19277,116,345,1,1 13
A19277,117,350,0,Aeneid 6 Olimp.
A19277,118,350,1,2 Aretius loc.
A19277,119,350,2,56
A19277,120,357,0,To.
A19277,121,357,1,1 51 4 36
A19277,122,363,0,(REF0)
A19277,123,364,0,vers.
A19277,124,364,1,44
A19277,125,372,0,(REF0)
A19277,126,373,0,(REF0)
A19277,127,376,0,(REF0)
A19277,128,377,0,(REF0)
A19277,129,377,0,(REF0)
A19277,130,380,0,(REF0)
A19277,131,383,0,Ambrosius To.
A19277,132,383,1,1 li de B. Mor.
A19277,133,383,2,2 pag.
A19277,134,383,3,243
A19277,135,389,0,Hier.
A19277,136,389,1,in Esa.
A19277,137,389,2,to.
A19277,138,389,3,5 65 Pa. 244 b.
A19277,139,393,0,Aug. ad Hefic.
A19277,140,393,1,To.
A19277,141,393,2,2 epi.
A19277,142,393,3,80 fol.
A19277,143,393,4,350
A19277,144,397,0,(REF0)
A19277,145,398,0,(REF0)
A19277,146,408,0,(REF0)
A19277,147,409,0,(REF0) (REF1)
A19277,148,411,0,(REF0) & 53 4
A19277,149,411,0,(REF0)
A19277,150,411,0,(REF0)
A19277,151,414,0,(REF0)
A19277,152,414,0,(REF0)
A19277,153,417,0,(REF0)
A19277,154,418,0,(REF0)
A19277,155,421,0,1 Reason.
A19277,156,421,0,(REF0)
A19277,157,424,0,(REF0)
A19277,158,425,0,(REF0)
A19277,159,426,0,(REF0) (REF1) & 17 5 (REF2)
A19277,160,429,0,(REF0)
A19277,161,429,0,(REF0)
A19277,162,433,0,(REF0)
A19277,163,434,0,(REF0)
A19277,164,436,0,(REF0)
A19277,165,438,0,(REF0)
A19277,166,438,0,(REF0)
A19277,167,448,0,(REF0)
